cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,year,doi,note,__orig_index
57,0000000579,Journal of the Association for Information,"Putzke, Johannes and Fischbach, Kai and Schoder, Detlef and Oinas-Kukkonen, Harri and Lyytinen, Kalle and Yoo, Youngjin and Gloor, Peter A",2,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_2/PutzkeFischbachSchoderEtAl2010.pdf,article,,,,560
58,0000000276,Journal of the Association for Information,"Chakraborty, Suranjan and Sarker, Saonee and Sarker, Suprateek",4,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_4/ChakrabortySarkerSarker2010.pdf,article,,,,265
58,0000000516,Journal of the Association for Information,"Sun, Heshan",4,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_4/Sun2010.pdf,article,,,,499
59,0000000301,Journal of the Association for Information,"Levermore, David M and Babin, Gilbert and Hsu, Cheng and March, Sal and Raghu, T. S and Vinze, Ajay",7,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_7/LevermoreBabinHsu2010.pdf,article,,,,290
59,0000000417,Journal of the Association for Information,"Liang, Huigang and Xue, Yajiong",7,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_7/LiangXue2010.pdf,article,,,,404
60,0000000411,Journal of the Association for Information,"Howcroft, Debra and Light, Ben and Rivard, Suzanne",3,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_3/HowcroftLight2010.pdf,article,,,,398
60,0000000503,Journal of the Association for Information,"Zmud, Robert W and Shaft, Teresa and Zheng, Weijun and Croes, Henry",3,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_3/ZmudShaftZhengEtAl2010.pdf,article,,,,486
61,0000000457,Journal of the Association for Information,"Kaganer, Evgeny and Pawlowski, Suzanne D and Wiley-Patton, Sonja",1,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_1/KaganerPawlowskiWileyPatton2010.pdf,article,,,,441
61,0000000541,Journal of the Association for Information,"Jiang, Zhenhui and Chan, Jason and Tan, Bernard C Y and Siong Chua, Wei",1,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_1/JiangChanTanEtAl2010.pdf,article,,,,523
62,0000000517,Journal of the Association for Information,"Chou, Chen-Huei and Sinha, Atish P and Zhao, Huimin",9,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_9/ChouSinhaZhao2010.pdf,article,,,,500
62,0000000614,Journal of the Association for Information,"Arazy, Ofer and Kumar, Nanda and Shapira, Bracha",9,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_9/ArazyKumarShapira2010.pdf,article,,,,594
63,0000000583,Journal of the Association for Information,"Wagner, Erica L and Newell, Sue and Piccoli, Gabriele",5,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_5/WagnerNewellPiccoli2010.pdf,article,,,,564
63,0000000589,Journal of the Association for Information,"Appan, Radha and Browne, Glenn J",5,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_5/AppanBrowne2010.pdf,article,,,,570
64,0000000026,Journal of the Association for Information Research Article,"Sandberg, Johan and Mathiassen, Lars and Napier, Nannette",7,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_7/SandbergMathiassenNapier2014.pdf,article,,,,23
64,0000000059,Journal of the Association for Information Research Article,"Farima Bagayogo, Fatou and Lapointe, Liette and Bassellier, Geneviève and Barrett, Michael",7,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_7/BagayogoLapointeBassellier2014.pdf,article,,,,56
65,0000000328,Journal of the Association for Information Research Article,"Parsons, Jeffrey and Ralph, Paul",8,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_8/ParsonsRalph2014.pdf,article,,,,315
65,0000000573,Journal of the Association for Information Research Article,"Watson, Richard T",8,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_8/Watson2014.pdf,article,,,,554
65,0000000594,Journal of the Association for Information Research Article,"Wang, Weiquan and Zhao, Yi and Qiu, Lingyun and Fui-Hoon, Fiona and Zhu, Yan",8,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_8/WangZhaoQiuEtAl2014.pdf,article,,,,574
66,0000000232,Journal of the Association for Information,"Thorén, Claes and Ågerfalk, Pär J and Edenius, Mats",11,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_11/ThorenAgerfalkEdenius2014.pdf,article,,,,224
66,0000000321,Journal of the Association for Information Special Issue,"Yeliz Eseryel, U. and Morgan, Lorraine",11,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_11/Eseryel2014.pdf,article,,,,309
66,0000000349,Journal of the Association for Information Special Issue,"Schlagwein, Daniel and Bjørn-Andersen, Niels",11,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_11/SchlagweinBjornAndersen2014.pdf,article,,,,336
66,0000000428,Journal of the Association for Information Special Issue,"Crowston, Kevin and Whelan, Eoin and Conboy, Kieran and Lero, Lorraine Morgan and Rossi, Matti",11,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_11/WhelanConboyCrowstonEtAl2014.pdf,article,,,,414
66,0000000646,Journal of the Association for Information Editorial Note,"Gregor, Shirley and Klein, Gary",11,15,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_11/GregorKlein2014.pdf,article,,,,626
67,0000000038,J ournal of the A I S ssociation for nformation ystems,"Perspective, Research and Gefen, David and Larsen, Kai",10,18,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/18_10/GefenLarsen2017.pdf,article,2017,,,35
67,0000000136,J ournal of the A I S ssociation for nformation ystems,"Seo, Dongback",10,18,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/18_10/Seo2017.pdf,article,2017,,,132
67,0000000258,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Fehrenbacher, Dennis D",10,18,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/18_10/Fehrenbacher2017.pdf,article,2017,,,248
