cluster_id,id,title,author,doi
19,P_0000000594,Journal of the Association for Information Research Article,"Wang, Weiquan and Zhao, Yi and Qiu, Lingyun and Fui-Hoon, Fiona and Zhu, Yan",
20,P_0000000488,Journal of the Association for Information,"Goldstein, James and Chernobai, Anna and Benaroch, Michel and Whitman, M. J",
20,P_0000000644,Journal of the Association for Information,"Evermann, Joerg and Tate, Mary",
21,P_0000000272,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Sun, Heshan and Fang, Yulin and Zou, Melody",
21,P_0000000703,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Gaskin, James Eric and Lowry, Paul Benjamin and Hull, David M",
22,P_0000000375,Journal of the Association for Information,"Nevo, Saggi and Demertzoglou, Pindaro and Wade, Michael and Crowston, Kevin and Chengalur-Smith, Indushobha",
22,P_0000000440,Journal of the Association for Information,"Sidorova, Anna and Daniel, Sherae and Chengalur-Smith, Indushobha",
22,P_0000000630,Journal of the Association for Information,"Colazo, Jorge A and Fang, Yulin",
23,P_0000000141,Journal of the Association for Information,"Lowry, Paul Benjamin and Gaskin, James Eric and Moody, Gregory D",
23,P_0000000406,Journal of the Association for Information Research Article,"Grgecic, Daniel and Holten, Roland and Rosenkranz, Christoph",
23,P_0000000647,Journal of the Association for Information Research Article,"Windeler, Jaime B and Maruping, Likoebe M and Robert, Lionel P and Davidson, Elizabeth and Riemenschneider, Cynthia K",
24,P_0000000143,Journal of the Association for Information,"Kelley, Helen and Chiasson, Mike and Downey, Angela and Pacaud, Danièle and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
24,P_0000000299,Journal of the Association for Information,"Parmet, Yisrael and Pliskin, Nava and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu and Zuker, Allon and Pliskin, Joseph S",
24,P_0000000459,Journal of the Association for Information,"Shaw, Mark Christopher and Stahl, Bernd Carsten and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
24,P_0000000733,Journal of the Association for Information,"Setia, Pankaj and Setia, Monika and Krishnan, Ranjani and Sambamurthy, Vallabh and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
25,P_0000000583,Journal of the Association for Information,"Wagner, Erica L and Newell, Sue and Piccoli, Gabriele",
25,P_0000000589,Journal of the Association for Information,"Appan, Radha and Browne, Glenn J",
26,P_0000000352,Journal of the Association for Information Research Article,"Meth, Hendrik and Mueller, Benjamin and Maedche, Alexander",
26,P_0000000364,Journal of the Association for Information Research Article,"Goh, Khim-Yong and Tan, Chuan-Hoo and Teo, Hock-Hai",
26,P_0000000489,Journal of the Association for Information Research Article,"Lang, Karl and Shang, Richard and Vragov, Roumen",
27,P_0000000295,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Young, Brett W and Mathiassen, Lars and Davidson, Elizabeth",
27,P_0000000661,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Venkatesh, Viswanath and Brown, Susan A and Sullivan, Yulia W",
28,P_0000000185,Journal of the Association for Information,"Tan, Barney and Pan, Shan L and Lu, Xianghua and Huang, Lihua and Quarterly, Mis",
28,P_0000000472,Journal of the Association for Information Research Article,"Dinger, Michael and Thatcher, Jason B and Treadway, Darren and Stepina, Lee and Breland, Jacob",
28,P_0000000723,Journal of the Association for Information,"Cranefield, Jocelyn and Yoong, Pak and Huff, Sid L",
29,P_0000000161,Journal of the Association for Information,"Soper, Daniel S and Demirkan, Haluk and Goul, Michael and St, Robert and Louis",
29,P_0000000233,Journal of the Association for Information,"Wu, Philip Fei",
29,P_0000000710,Journal of the Association for Information,"Nazir, Salman and Pinsonneault, Alain",
30,P_0000000459,Journal of the Association for Information,"Shaw, Mark Christopher and Stahl, Bernd Carsten and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
30,P_0000000733,Journal of the Association for Information,"Setia, Pankaj and Setia, Monika and Krishnan, Ranjani and Sambamurthy, Vallabh and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
31,P_0000000268,Journal of the Association for Information,"Ridings, Catherine and Wasko, Molly",
31,P_0000000437,Journal of the Association for Information,"Oinas-Kukkonen, Harri and Lyytinen, Kalle and Yoo, Youngjin",
31,P_0000000579,Journal of the Association for Information,"Putzke, Johannes and Fischbach, Kai and Schoder, Detlef and Oinas-Kukkonen, Harri and Lyytinen, Kalle and Yoo, Youngjin and Gloor, Peter A",
32,P_0000000370,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Bernardi, Roberta",
32,P_0000000395,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Holeman, Isaac and Barrett, Michael",
32,P_0000000788,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Kelly, Séamas and Noonan, Camilla",
32,P_000789,J ournal of the A I S ssociation for nformation ystems,"Sahay, Sundeep and Kyaw, Maung and Urquhart, Cathy",
33,P_0000000230,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Mohan, Blooma and Yeow, Alton and Chua, Kuan and Hoe, Dion and Goh, Lian and Wickramasinghe, Nilmini and Chua, Alton Y K and Goh, Dion",
33,P_0000000319,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Tallon, Paul P and Huntsman, Jon M and Coltman, Tim and Sharma, Rajeev and Queiroz, Magno and South, Wales and Rajeev",
33,P_0000000415,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Brown, Susan A and Fuller, Robert M and Thatcher, Sherry M B",
34,P_0000000308,Journal of the Association for Information,"Galluch, Pamela S and Grover, Varun and Thatcher, Jason Bennett",
34,P_0000000684,Journal of the Association for Information,"Kuan, Kevin K Y and Hui, Kai-Lung and Paul, *. and Prasarnphanich, Pattarawan and Lai, Hok-Yin",
35,P_0000000438,Journal of the Association for Information,"Arbore, Alessandro and Bocconi, Sda and Soscia, Isabella and Bagozzi, Richard P",
35,P_0000000521,Journal of the Association for Information,"Strong, Diane M and Johnson, Sharon A and Tulu, Bengisu and Trudel, John and Volkoff, Olga and Pelletier, Lori R and Garber, Lawrence",
36,P_0000000204,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Warkentin, Merrill and Goel, Sanjay and Menard, Philip",
36,P_0000000357,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wu, Yi and Choi, Ben and Guo, Xitong and Klarissa, Ting-Ting and Chang",
36,P_0000000507,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Molnar, Wolfgang Alfred and Nandhakumar, Joe and Stacey, Patrick",
37,P_0000000022,Journal of the Association for Information,"Vance, Anthony and Anderson, Bonnie Brinton and Kirwan, C. Brock and Eargle, David",
37,P_0000000228,Journal of the Association for Information Special Issue,"Léger, Pierre-Majorique and Montréal, Hec and Sénecal, Sylvain and Ortiz De Guinea, Ana and Titah, Ryad and Fredette, Marc and Research, Systems",
37,P_0000000249,Journal of the Association for Information,"Hill, Kevin and Ortiz De Guinea, Ana and Thatcher, Jason and Grover, Varun and Tams, Stefan",
37,P_0000000585,Journal of the Association for Information,"Riedl, René and Davis, Fred D and Hevner, Alan R and Barki, Henri and Chatterjee, Samir and Dennis, Alan and Gefen, David and Léger, Pierre-Majorique and Randolph, Adriane and Walden, Eric and Walton, Sam M",
38,P_0000000320,J ournal of the A I S ssociation for nformation ystems,"Abbasi, Ahmed and Sarker, Suprateek and Chiang, Roger H L and Lindner, Carl H",
38,P_0000000339,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Pouloudi, Nancy and Currie, Wendy and Whitley, Edgar A",
38,P_0000000361,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Dawson, Greg and Carey, W. P and Watson, Richard T and Boudreau, Marie-Claude and Pitt, Leyland F",
39,P_0000000022,Journal of the Association for Information,"Vance, Anthony and Anderson, Bonnie Brinton and Kirwan, C. Brock and Eargle, David",
39,P_0000000228,Journal of the Association for Information Special Issue,"Léger, Pierre-Majorique and Montréal, Hec and Sénecal, Sylvain and Ortiz De Guinea, Ana and Titah, Ryad and Fredette, Marc and Research, Systems",
40,P_0000000279,Journal of the Association for Information,"Kock, Ned and Lynn, Gary S",
40,P_0000000402,Journal of the Association for Information,"Choi, Byounggu and Lee, Jae-Nam",
40,P_0000000708,Journal of the Association for Information,"Jewer, Jennifer and Mckay, Kenneth N",
41,P_0000000021,Journal of the Association for Information,"Al-Natour, Sameh and Benbasat, Izak and Cenfetelli, Ron",
41,P_0000000359,Journal of the Association for Information Abstract Research Article,"Balijepally, Venugopal and Mangalaraj, George and Iyengar, Kishen",
42,C_000049,Plagiarism by Academics: More Complex Than It Seems,"Clarke, Roger",10.17705/1JAIS.00080
42,C_000113,Plagiarism by Academics: More Complex Than It Seems,"Clarke, Roger",10.17705/1JAIS.00081
42,D_000098,Plagiarism by Academics - More Complex Than It Seems,"Clarke, Roger",
42,P_0000000658,Plagiarism by Academics: More Complex Than It Seems 1,"Clarke, Roger and Davison, Robert and Munro, Malcolm and Kock, Ned",
43,P_0000000370,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Bernardi, Roberta",
